中药材	中药材
中药名	太白参
别名	煤参
别名	太白洋参
别名	黑洋参
中药名	龙骨
别名	五花龙骨
中药名	爬山虎
别名	常春藤
别名	大风藤
别名	假葡萄藤
别名	走游藤蓼
别名	地锦
中药名	桃枝
别名	桃树枝
中药名	硇砂
别名	北庭砂
别名	赤砂
别名	黄砂
别名	狄盐
别名	气砂
别名	透骨将军
别名	戎硇
别名	白硇砂
别名	淡硇砂
别名	岩硇砂
中药名	海参
别名	辽参
别名	海男子
中药名	藿香
别名	土藿香
别名	大叶薄荷
别名	绿荷荷
别名	川藿香
别名	苏藿香
别名	野藿香
别名	排香草
中药名	盘龙七
别名	石白菜
别名	地白菜
别名	大盘龙七
中药名	紫梢花
别名	紫霄花
别名	花子
中药名	臭梧桐
别名	臭桐
别名	八角梧桐
别名	楸叶常山
别名	矮桐子
别名	楸茶叶
别名	臭牡丹
别名	百日红
别名	臭桐柴
中药名	六月寒
别名	大风寒草
别名	红花野芝麻
别名	路边梢
别名	化骨丹
别名	野芝麻
别名	野薄荷
别名	蜂子草
别名	山卷莲
别名	野荆芥
别名	黄刺泡
中药名	六棱菊
别名	六耳棱
别名	鹿耳翎
别名	鹿耳苓
别名	绿耳棱
别名	六耳铃
别名	羊耳三稔
别名	蜡达草
别名	六十瓣
别名	羊毛草
中药名	岩椒草
别名	臭节草
别名	松风草
别名	石胡椒
别名	臭沙子
别名	臭草
别名	苦黄草
别名	大羊不食草
别名	臭花草
别名	葱草花
别名	草见血飞
别名	山羊草
别名	铜脚一枝蒿
别名	鹞子钻山
别名	地通花
别名	大退癀
别名	野椒
别名	蛇皮草
中药名	凤凰衣
别名	鸡卵中白皮
别名	鸡子白皮
别名	凤凰退
别名	鸡蛋膜衣
中药名	透骨草
别名	珍珠透骨草
别名	吉盖草
别名	枸皮草 
中药名	太白米
别名	九子
别名	假百合 
中药名	椒目
别名	川椒目
别名	椒子
中药名	紫贝齿
别名	紫贝
别名	紫贝子
别名	贝齿
别名	文贝
中药名	槐枝
别名	槐嫩蘖
中药名	硼砂
别名	大朋砂
别名	蓬砂
别名	鹏砂
别名	月石
别名	盆砂
中药名	阴香皮
别名	广东桂皮
中药名	桂皮
别名	山肉桂
别名	土肉桂
别名	土桂
别名	山玉桂
别名	山桂皮
中药名	玄明粉
别名	白龙粉
别名	风化消
别名	元明粉
中药名	红曲
别名	赤曲
别名	丹曲
别名	红米
别名	福曲
别名	红大米
别名	红槽
中药名	双参
别名	山苦参
别名	子母参
别名	合合参
别名	童子参
别名	萝卜参
别名	羊蹄参
别名	青阳参
别名	合包参
中药名	黑豆
别名	黑大豆
别名	乌豆
别名	冬豆子
中药名	一支箭
别名	一支枪
别名	蛇咬子
别名	小青藤
中药名	虻虫
别名	牛虻
别名	蜚虻
别名	牛虻
别名	绿头猛钻
别名	牛苍蝇
别名	瞎虻虫
别名	瞎蚂蜂
别名	牛蝇子
别名	瞎眼蠓
中药名	桑枝
别名	桑条
中药名	海浮石
别名	石花
别名	海石
别名	浮海石
别名	浮石
别名	小海石
中药名	茯神
别名	伏神
中药名	春不见
别名	一朵云
别名	蕨藄
中药名	瓜蒌
别名	栝楼
别名	药瓜
别名	肚瓜
别名	大肚瓜
别名	鸭屎瓜
中药名	八楞木
别名	八棱麻
别名	青竹标
别名	八面风
别名	三棱草
中药名	暴马丁香
别名	暴马子皮
别名	白丁香
别名	棒棒木
别名	荷花丁香
中药名	一点血
别名	红砖草
别名	石鼓子
别名	威氏秋海棠
中药名	七叶莲
别名	小叶鸭
别名	脚木汉桃叶
别名	手树
别名	七加皮
别名	七叶藤
别名	狗脚蹄
中药名	石吊兰
别名	黑乌骨
别名	石豇豆
别名	石泽兰
别名	小泽兰
别名	岩豇豆
别名	岩石茶
中药名	当药
别名	紫花当药
别名	獐牙菜
别名	水黄连
别名	关当药
中药名	杜仲
别名	川杜仲
别名	丝连皮
别名	扯丝皮
别名	思仙
别名	思仲
别名	玉丝皮
别名	丝棉皮
中药名	红参
别名	熟人参
中药名	熟地黄
别名	熟地
中药名	炙黄芪
别名	无
中药名	炙甘草
别名	炙草
中药名	天南星
别名	山苞米
别名	独脚莲
别名	蛇包谷
中药名	赭石
别名	代赭石
别名	铁朱
别名	钉头赭石
别名	赤赭石
中药名	青礞石
别名	礞石
中药名	磁石
别名	吸铁石
别名	吸针石
别名	戏铁石
别名	玄石
别名	处石
别名	灵磁石
别名	摄石
中药名	滑石
别名	液石
别名	夕冷
别名	活石
别名	生滑石
别名	飞滑石
别名	白滑石
别名	画石
中药名	琥珀
别名	血珀
别名	云珀
别名	红琥珀
别名	虎珀
别名	虎魄
别名	江珠
别名	琥魄
别名	兽魄
别名	育沛
别名	江珠
别名	光珀
中药名	硫黄
别名	石硫黄
别名	天生黄
别名	黄硇砂
别名	昆仑黄
别名	将军
别名	硫黄花
别名	硫黄粉
中药名	雄黄
别名	石黄
别名	雄精
别名	黄食石
别名	黄金石
别名	鸡冠石
别名	黄石
别名	天阳石
中药名	禹余粮
别名	禹粮石
别名	太一余粮
别名	石中黄
别名	余粮石
别名	禹粮土
中药名	钟乳石
别名	石钟乳
别名	滴乳石
别名	芦石
别名	黄石砂
别名	卢布
中药名	炉甘石
别名	异极石
别名	浮水甘石
别名	炉眼石
别名	干石
中药名	花蕊石
别名	花乳石
别名	白云石
中药名	阳起石
别名	白石
别名	羊起石
别名	 石生
别名	阳石
别名	起阳石
中药名	自然铜
别名	石髓铅
别名	方块铜
中药名	朱砂
别名	丹砂
别名	丹粟赤丹
别名	汞砂
别名	辰砂
中药名	芒硝
别名	朴硝
别名	皮硝
别名	风化硝
别名	马牙消
别名	英消
别名	盆消
中药名	白矾
别名	矾石
别名	理石
别名	白君
别名	矾石
别名	明矾
别名	羽泽
中药名	石膏
别名	软石膏
别名	细理石
别名	白虎
别名	寒水石
别名	白虎
别名	玉大石
别名	冰石
中药名	紫河车
别名	胞衣
别名	胎衣
别名	混沌衣
别名	仙人衣
中药名	麝香
别名	遗香
别名	脐香
别名	当门子
别名	生香
别名	麝脐香
中药名	鳖甲
别名	上甲
别名	鳖壳
别名	甲鱼壳
别名	团鱼壳
别名	鳖盖子
中药名	蟾酥
别名	蛤蟆酥
别名	蛤蟆浆
别名	蟾蜍眉脂
别名	蟾蜍眉酥
别名	癞蛤蟆浆
中药名	蜈蚣
别名	天龙
别名	百脚
别名	百足虫
别名	天虫
别名	吴公
别名	千足虫
中药名	海蛤壳
别名	蛤壳
别名	黄蛤
别名	白利壳
中药名	蛤蚧
别名	大壁虎
别名	蚧蛇
别名	蛤解
别名	蛤蟹
别名	仙蟾
中药名	羚羊角
别名	泠角
别名	九尾羊角
别名	角
别名	羱羊角
中药名	熊胆
别名	狗熊胆
别名	黑瞎子胆
别名	黑熊胆
中药名	鹿茸
别名	花鹿茸
别名	黄毛茸
别名	马鹿茸
别名	斑龙珠
中药名	蛇蜕
别名	蛇退
别名	长虫皮
别名	白龙衣
别名	龙皮
别名	蛇筋
别名	蛇附
别名	蛇皮
别名	蛇壳
中药名	海螵蛸
别名	墨鱼骨
别名	乌贼骨
别名	墨鱼盖
别名	乌铡骨
中药名	海龙
别名	水雁
别名	杨枝鱼
中药名	血余炭
别名	乱发
别名	发灰
别名	头发
别名	人发灰
中药名	地龙
别名	蚯蚓
别名	曲蟮
别名	土龙
别名	广地龙
别名	蚯蟒
别名	丘坎
别名	附蚓
别名	寒蚓
别名	土龙
别名	虫蟮
中药名	石决明
别名	鲍鱼壳
别名	光底海决
别名	海决明
别名	九孔石决明
别名	鲍鱼皮
别名	金蛤蜊皮
中药名	水牛角
别名	沙牛角
中药名	水蛭
别名	马蛭
别名	麻黄蜞
别名	马蟥
别名	水麻贴
别名	沙塔干
别名	肉钻子
别名	蚂蝗蜞
别名	蚂蟥
中药名	乌梢蛇
别名	乌蛇
别名	乌风蛇
别名	黑乌梢
别名	乌花蛇
别名	剑脊蛇
别名	黑风蛇
别名	黄风蛇
别名	剑脊乌梢蛇
中药名	牛黄
别名	丑宝
别名	犀黄
中药名	瓦楞子
别名	蚶壳
别名	瓦垄子
别名	魁蛤壳
别名	瓦屋子
别名	蚶子壳
别名	瓦垄蛤皮
别名	血蛤皮
中药名	五灵脂
别名	药本
别名	寒号虫粪
别名	寒雀粪
中药名	斑蝥
别名	羊米虫
别名	花斑毛
别名	放屁虫
别名	花壳虫
别名	小豆虫
别名	斑猫
别名	花罗虫
中药名	桑螵蛸
别名	螳螂子
别名	刀螂子
别名	螳螂蛋
别名	桑蛸
别名	螵蛸
别名	猴儿包
中药名	僵蚕
别名	天虫
别名	僵虫
别名	白僵蚕
中药名	蝉蜕
别名	蝉退
别名	蝉衣
别名	蝉壳
别名	枯蝉
别名	知了皮
中药名	蚕沙
别名	蚕砂
别名	晚蚕沙
别名	蚕矢
别名	原蚕屎
别名	晚蚕矢
别名	蚕屎
别名	二蚕沙
中药名	蜂房
别名	露蜂房
别名	蜂肠
别名	马蜂窝
别名	蜂巢
别名	马蜂包
中药名	虫白蜡
别名	虫蜡
别名	木蜡
别名	树蜡
别名	白蜡
别名	蜡膏
中药名	五倍子
别名	文蛤
别名	百虫仓
别名	木附子
别名	旱倍子
别名	乌盐泡
别名	漆倍子
别名	红叶桃
中药名	土鳖虫
别名	地鳖虫
别名	土元
别名	蟅虫
中药名	九香虫
别名	臭屁虫
别名	屁板虫
别名	瓜黑蝽
别名	黑兜虫
别名	瓜黑蝽
中药名	鹤草芽
别名	狼牙
别名	狼齿
别名	狼牙子
别名	仙鹤草根芽
中药名	稻芽
别名	谷芽
中药名	麦芽
别名	麦蘖
别名	大麦毛
别名	大麦芽
别名	大麦蘖
中药名	谷芽
别名	粟芽
别名	蘖米
别名	谷蘖
别名	稻蘖
别名	稻芽
中药名	六神曲
别名	神曲
别名	六曲
中药名	淡豆豉
别名	香豉
别名	淡豉
别名	大豆豉
中药名	青黛
别名	靛
别名	靛花
别名	靛沫
别名	蓝靛
别名	蓝露
别名	青蛤粉
别名	靛沫花
中药名	芦荟
别名	奴荟
别名	透明芦荟
别名	象胆
别名	卢会
别名	讷会
别名	奴会
别名	劳伟
中药名	天竺黄
别名	竹黄
别名	竹膏
别名	天竹黄
别名	竹糖
中药名	大豆黄卷
别名	黄豆卷
别名	黄卷
别名	大豆卷
别名	卷蘖
别名	豆蘖
中药名	儿茶
别名	孩儿茶
别名	西谢
别名	儿茶膏
别名	黑儿茶
中药名	银耳
别名	白木耳
别名	白耳子
别名	白耳
中药名	雷丸
别名	竹苓
别名	雷实
别名	竹铃芝
别名	木连子
别名	白雷丸
中药名	猪苓
别名	野猪粪
别名	猪屎苓
别名	枫苓
别名	地乌桃
别名	野猪食
别名	猪茯苓
中药名	茯苓
别名	茯灵
别名	云苓
别名	茯菟
别名	松腴
别名	松薯
别名	松苓
中药名	海藻
别名	海根菜
别名	鹿角尖
别名	大蒿子
别名	海藻菜
别名	乌菜
别名	海带花
中药名	昆布
别名	海带
别名	海白菜
别名	江白菜
别名	纶布
别名	海昆布
中药名	灵芝
别名	三秀
别名	灵芝草
别名	菌灵芝
别名	木灵芝
别名	芝
中药名	冬虫夏草
中药名	木耳
别名	黑木耳
别名	木菌
别名	耳子
别名	木茸
中药名	马勃
别名	灰包菌
别名	药苞
别名	灰菇
别名	牛屎菇
别名	鸡肾菌
中药名	樟脑
别名	韶脑
别名	潮脑
别名	树脑
中药名	乳香
别名	乳头香
别名	滴乳香
别名	熏陆香
别名	塌香
别名	马思答吉
别名	天泽香
别名	浴香
中药名	松香
别名	松脂
别名	白松香
别名	松脂香
中药名	没药
别名	末药
中药名	血竭
别名	麒麟竭
别名	血结
别名	血力花
别名	海蜡
别名	木血竭
中药名	冰片
别名	龙脑
别名	龙脑香
别名	艾片
别名	机片
中药名	枫香脂
别名	白胶香
别名	白胶
别名	枫脂
别名	胶香
中药名	安息香
别名	拙贝罗香
别名	野茉莉
中药名	竹沥
别名	竹汁
别名	淡竹沥
别名	竹油
中药名	干漆
别名	山漆
别名	漆渣
别名	黑漆
中药名	檀香
别名	白檀
别名	真檀
别名	白檀香
别名	旃檀
别名	檀香木
中药名	樟木
别名	樟材
别名	香樟木
别名	吹风散
中药名	槲寄生
别名	北寄生
别名	冻青
别名	冬青
别名	柳寄生
别名	槲寄
别名	黄寄生
中药名	锁阳
别名	地毛球
别名	锈铁棒
别名	锁严子
别名	不老药
别名	黄骨狼
别名	羊锁不拉
中药名	桑寄生
别名	广寄生
别名	桑上寄生
别名	寄生
别名	寓木
别名	寄生草
别名	寄生树
中药名	麻黄
别名	木麻黄
别名	结力根
别名	山麻黄
别名	狗骨
别名	卑柑
中药名	通草
别名	大通草
别名	通花
别名	方通草
别名	寇脱
别名	白通草
别名	五加风
中药名	桂枝
别名	桂尖
别名	桂枝尖
别名	嫩桂枝
别名	柳桂
中药名	络石藤
别名	络石
别名	云花
别名	石龙藤
别名	络石草
别名	爬墙虎
别名	石龙藤
别名	藤络
别名	软筋藤
中药名	鬼箭羽
别名	四棱树
别名	鬼箭
别名	卫矛
别名	见肿消
别名	麻药
中药名	钩藤
别名	钓藤
别名	双钩
别名	钩藤钩子
别名	方钩藤
别名	倒挂刺
别名	金钩藤
中药名	首乌藤
别名	首乌
别名	夜交藤
别名	铁称砣
别名	何相公
别名	棋藤
中药名	油松节
别名	松节
别名	黄松木节
别名	油松节
别名	松郎头
中药名	苦木
别名	黄楝瓣树
别名	狗胆木
别名	苦木霜
别名	苦胆木
别名	熊胆树
别名	黄楝树
中药名	青风藤
别名	寻风藤
别名	追骨风
别名	汉防己
别名	大风藤
别名	吹风散
别名	黑防己
别名	排风藤
别名	青防己
中药名	鸡血藤
别名	血龙藤
别名	九层风
别名	血筋藤
别名	紫梗藤
别名	血凤藤
别名	大血藤
别名	过岗龙
中药名	皂角刺
别名	天钉
别名	皂针
别名	皂荚刺
别名	天丁明
别名	皂角针
中药名	苏木
别名	苏方
别名	苏方木
别名	棕木
别名	赤木
别名	红柴
别名	红苏木
中药名	柳枝
别名	杨柳条
别名	柳条
中药名	灯心草
别名	灯心
别名	虎须草
别名	灯草
别名	秧草
别名	铁灯心
中药名	肉苁蓉
别名	苁蓉
别名	大芸
别名	荒漠肉苁蓉
别名	肉松蓉
别名	纵蓉
中药名	竹茹
别名	竹皮
别名	青竹茹
别名	淡竹茹
别名	竹二青
别名	青子竹
中药名	西河柳
别名	山川柳
别名	柽柳
别名	红荆条
别名	河柳
别名	春柳
别名	赤柽柳
中药名	木通
别名	通草
别名	附支
别名	丁翁
别名	丁父
别名	葍藤
别名	万年藤
别名	活血藤
中药名	石斛
别名	金钗石斛
别名	鼓槌石斛
别名	流苏石斛
别名	林兰
别名	杜兰
别名	千年竹
中药名	小通草
别名	小通花
别名	通草棍
别名	旌节花
别名	小通花
别名	山通草
别名	通条树
中药名	天仙藤
别名	马兜铃藤
别名	青木香藤
别名	都淋藤
别名	长痧藤
别名	香藤
中药名	川木通
别名	淮木通
别名	白木通
中药名	大血藤
别名	血藤
别名	红皮藤
别名	活血藤
别名	红藤
别名	大活血
别名	山红藤
中药名	椿皮
别名	椿根皮
别名	樗白皮
别名	苦椿皮
别名	臭椿
别名	樗根皮
中药名	黄柏
别名	川黄柏
别名	黄檗皮
别名	黄皮树皮
别名	檗皮
别名	黄檗
中药名	桑白皮
别名	桑根白皮
别名	桑根皮
别名	桑皮
别名	白桑皮
中药名	海桐皮
别名	钉铜皮
别名	刺桐皮
别名	鼓桐皮
别名	刺通
别名	接骨药
中药名	秦皮
别名	蜡树皮
别名	秦白皮
别名	梣皮
中药名	香加皮
别名	北五加皮
别名	杠柳皮
别名	香五加皮
中药名	厚朴
别名	厚皮
别名	重皮
别名	赤朴
别名	油朴
别名	川朴
别名	紫油厚朴
中药名	苦楝皮
别名	川楝皮
别名	楝木皮
别名	楝皮
别名	楝根皮
别名	苦楝根皮
中药名	牡丹皮
别名	丹皮
别名	木芍药
别名	洛阳花
中药名	合欢皮
别名	夜合皮
别名	合昏皮
别名	合欢木皮
中药名	肉桂
别名	菌桂
别名	大桂
别名	筒桂
别名	辣桂
别名	玉桂
别名	牡桂
别名	紫桂
别名	桂皮
别名	桂
中药名	地骨皮
别名	杞根
别名	地骨
别名	枸杞根
别名	枸杞根皮
别名	红榴根皮
中药名	地枫皮
别名	地枫
别名	南宁地枫皮
中药名	白鲜皮
别名	鲜皮
别名	北鲜皮
别名	野花椒根皮
别名	臭根皮
中药名	五加皮
别名	五加
别名	南五加皮
别名	五谷皮
别名	红五加皮
中药名	木槿皮
别名	川槿皮
别名	白槿皮
别名	芦树皮
别名	碗盖花皮
中药名	土荆皮
别名	土槿皮
别名	金钱松皮
别名	罗汉松皮
别名	荆树皮
中药名	九里香
别名	千里香
别名	万里香
别名	七里香
别名	满山香
别名	五里香
别名	过山香
别名	千枝叶
中药名	棕榈
别名	棕毛
别名	棕榈皮
别名	拼榈木皮
别名	棕皮
中药名	满山红
别名	映山红
别名	迎山红
别名	金达来
别名	东北满山红
中药名	银杏叶
别名	鸭脚子
别名	白果树叶
别名	白孙树叶
中药名	番泻叶
别名	旃那叶
别名	泻叶
别名	泡竹叶
别名	翼泻叶
中药名	紫珠叶
别名	止血草
别名	老蟹眼
别名	白毛柴
别名	紫珠草
别名	紫荆
别名	紫珠
中药名	桑叶
别名	冬桑叶
别名	霜桑叶
中药名	荷叶
别名	莲叶
别名	藕叶
中药名	胡颓子叶
别名	胡颓叶
别名	牛奶子叶
别名	蒲颓叶
中药名	侧柏叶
别名	扁柏叶
别名	丛柏叶
别名	柏叶
中药名	南天竹叶
别名	南竹叶
别名	天竹叶
中药名	枸骨叶
别名	功劳叶
别名	鸟不宿叶
别名	八角刺
别名	枸骨刺
中药名	罗布麻叶
别名	红花草
别名	泽漆麻
别名	吉吉麻
别名	泽漆棵
别名	小花罗布麻
中药名	枇杷叶
别名	广杷叶
别名	巴叶
别名	芦橘叶
中药名	苦丁茶
别名	苦灯茶
别名	大叶茶
中药名	牡荆叶
别名	荆叶
中药名	龙脷叶
别名	龙利叶
别名	龙舌叶
别名	龙味叶
中药名	功劳木
别名	土黄柏
别名	土黄连
别名	刺黄柏
别名	老鼠刺
别名	土黄芩
中药名	四季青
别名	冬青叶
别名	四季青叶
别名	一口血
中药名	石楠叶
别名	风药
别名	栾茶
中药名	艾叶
别名	蕲艾
别名	祁艾
别名	大艾叶
别名	艾蒿
别名	五月艾
中药名	山楂叶
别名	赤枣子叶
中药名	木芙蓉叶
别名	拒霜叶
别名	芙蓉花叶
别名	秋芙蓉叶
中药名	人参叶
别名	参叶
别名	人参苗
中药名	大青叶
别名	路边青叶
别名	蓝叶
别名	蓝菜
中药名	梅花
别名	绿萼梅
别名	绿梅花
别名	白梅花
中药名	槐花
中药名	蒲黄
别名	蒲草黄
别名	蒲花
别名	蒲棒花粉
别名	蒲厘花粉
中药名	款冬花
别名	冬花
别名	九九花
别名	连三朵
别名	款花
别名	艾冬花
中药名	密蒙花
别名	老蒙花
别名	水锦花
别名	羊春条
别名	黄饭花
别名	蒙花珠
别名	糯米花
中药名	旋覆花
别名	旋覆华
别名	金钱花
别名	夏菊
别名	六月菊
别名	金盏花
中药名	啤酒花
别名	忽布
别名	香蛇麻
别名	野酒花
中药名	野菊花
别名	苦薏
别名	野山菊
别名	山菊花
别名	千层菊
别名	黄菊花
中药名	菊花
别名	甘菊
别名	家菊
别名	白菊花
别名	毫菊
别名	滁菊
别名	贡菊
别名	杭菊
中药名	凌霄花
别名	紫葳花
别名	五爪龙
别名	红花倒水莲
别名	倒挂金钟
别名	上树龙
别名	吊墙花
别名	杜灵霄花
中药名	夏枯草
别名	夏枯球
别名	棒头草
别名	白花草
别名	铁线夏枯
别名	铁色草
别名	灯笼草
别名	棒槌草
中药名	桂花
别名	木犀花
中药名	洋金花
别名	曼陀罗花
别名	南洋金花
别名	闹洋花
别名	风茄花
中药名	厚朴花
别名	调羹花
中药名	闹羊花
别名	黄杜鹃
别名	羊不食草
别名	八厘麻
别名	羊踯躅花
别名	惊羊花
别名	石棠花
别名	黄喇叭花
中药名	茉莉花
别名	白末利
别名	柰花
别名	末梨花
中药名	松花粉
别名	松黄
别名	松花
别名	松粉
中药名	玫瑰花
别名	红玫瑰
别名	徘徊花
别名	笔头花
别名	湖花
别名	刺玫花
别名	刺玫菊
中药名	鸡冠花
别名	鸡公花
别名	鸡髻花
别名	老来红
别名	鸡角枪
别名	鸡冠头
中药名	迎春花
别名	金腰带
别名	清明花
别名	金梅花
中药名	谷精草
别名	流星草
别名	移星草
别名	鱼眼草
别名	戴星草
别名	文星草
别名	移星草
别名	珍珠草
中药名	辛夷
别名	望春花
别名	木笔花
别名	迎春花
别名	毛辛夷
别名	姜朴花
中药名	芫花
别名	芫
别名	赤芫
别名	芫条花
别名	败花
别名	头痛花
别名	野丁香花
中药名	红花
别名	红蓝花
别名	刺红花
别名	草红花
中药名	西红花
别名	藏红花
别名	番红花
中药名	合欢花
别名	合欢米
别名	夜合花
别名	夜合米
中药名	玉米须
别名	包米须
别名	玉麦须
别名	玉蜀黍蕊
中药名	月季花
别名	月月红
别名	四香春
别名	月贵花
中药名	木棉花
别名	红棉花
别名	英雄树花
别名	广州市花
中药名	木槿花
别名	篱障花
别名	碗盖花
别名	木红花
中药名	山银花
别名	土忍冬
中药名	盘龙参
别名	猪辽参
别名	猪鞭草
别名	龙缠柱
别名	海珠草
中药名	颠茄草
别名	美女草
别名	别拉多娜草
中药名	翻白草
别名	鸡腿儿
别名	天藕儿
别名	鸡脚草
别名	鸡脚爪
别名	金钱吊葫芦
中药名	瞿麦
别名	石竹子花
别名	十样景花
别名	洛阳花
别名	大兰
别名	南天竺草
别名	麦句姜
中药名	薄荷
别名	蕃荷菜
别名	苏薄荷
别名	鸡苏
别名	蔢荷
别名	夜息药
别名	水益母
别名	见肿消
别名	土薄荷
中药名	墨旱莲
别名	墨菜
别名	金陵草
别名	莲子草
别名	旱莲草
别名	墨汁草
别名	水旱莲
别名	黑墨草
中药名	蔊菜
别名	野油菜
别名	野芥草
别名	独根菜
中药名	豨莶草
别名	火莶
别名	猪膏草
别名	虎膏
别名	狗膏
别名	大叶草
别名	虾钳草
别名	铜锤草
中药名	矮地茶
别名	紫金牛
别名	叶下红
别名	叶底红
别名	老勿大
别名	平地木
别名	矮脚草
中药名	蒲公英
别名	蒲公草
别名	地丁
别名	蒲公丁
别名	金簪草
别名	狗乳草
别名	黄花地丁
中药名	鹅不食草
别名	石胡荽
别名	地胡椒
别名	三芽戟
别名	鸡肠草
别名	野园荽
别名	通天窍
中药名	紫花地丁
别名	地丁
别名	金剪刀
别名	紫地丁
别名	箭头草
别名	兔耳草
别名	地丁草
中药名	扁蓄
别名	萹蓄
别名	萹竹
别名	道生草
别名	地蓼
别名	粉节草
别名	百节
别名	野铁扫把
中药名	筋骨草
别名	白毛夏枯草
别名	散血草
别名	破血丹
中药名	蛇莓
别名	野杨梅
别名	地莓
别名	小草莓
别名	蛇含草
别名	龙吐珠
别名	九龙草
中药名	菥蓂
别名	大荠
别名	花叶荠
别名	老鼓草
别名	苏败酱
别名	折嘎哇(藏名)
中药名	酢浆草
别名	酸箕
别名	三叶酸草
别名	醋母草
别名	酸迷迷草
别名	铺地莲
中药名	断血流
别名	大叶香薷
别名	荫风轮
别名	田螺菜
别名	蒙锄草
别名	多头风轮菜
别名	山藿香
别名	瘦风轮
中药名	淡竹叶
别名	碎骨子
别名	山鸡米
别名	金鸡米
别名	竹叶门冬青
别名	金竹叶
别名	地竹
中药名	鹿衔草
别名	鹿安茶
别名	鹿含草
别名	鹿蹄草
别名	红肺筋草
别名	圆叶鹿蹄草
别名	破血丹
别名	纸背金牛草
别名	鹿寿茶
中药名	甜地丁
别名	米口袋
别名	米布袋
别名	地丁
别名	痒痒草
中药名	益母草
别名	益母
别名	茺蔚茎
别名	益明
别名	坤草
别名	臭秽
别名	月母草
别名	益母艾
中药名	浮萍
别名	苹
别名	水萍
别名	田萍
别名	萍子草
别名	九子萍
中药名	积雪草
别名	马蹄草
别名	葵蓬莱
别名	崩口碗
别名	连钱草
别名	老公根
别名	透骨草
中药名	鸭跖草
别名	竹鸡草
别名	地地藕
别名	鸭食草
别名	竹叶菜
别名	鸭脚草
别名	鹅儿菜
中药名	葎草
别名	葛葎蔓
别名	苦瓜藤
别名	大叶五爪龙
中药名	绞股蓝
别名	七叶胆
别名	五叶参
别名	甘茶蔓
别名	小苦药
别名	遍地生根
中药名	景天三七
别名	土三七
别名	费菜
别名	血山草
别名	见血散
别名	活血丹
中药名	香薷
别名	香茹
别名	青香薷
别名	华荠芋
别名	小叶香薷
别名	香茸
别名	香菜
别名	石香薷
别名	石艾
中药名	荠菜
别名	护生草
别名	清明菜
别名	假水菜
中药名	茵陈
别名	茵陈蒿
别名	白蒿
别名	绒蒿
别名	臭蒿
中药名	荆芥
别名	香荆芥
别名	线芥
别名	四棱秆蒿
别名	假苏
别名	姜芥
中药名	胡荽
别名	香菜
别名	香荽
别名	芫荽
中药名	垂盆草
别名	鼠牙半支
别名	瓜子草
别名	佛指甲
别名	狗牙草
别名	山护花
别名	狗牙瓣
别名	地蜈蚣草
中药名	泽漆
别名	五朵云
别名	五盏灯
别名	一把伞
别名	五风草
别名	九头狮子草
别名	倒毒伞
中药名	泽兰
别名	地瓜儿苗
别名	地笋
别名	提娄
别名	虎兰
别名	蛇王草
中药名	鱼腥草
别名	臭荞麦
别名	蕺儿根
别名	狗耳菜
别名	菹菜
别名	臭腥草
别名	折耳根
中药名	肿节风
别名	草珊瑚
别名	接骨木
别名	九节茶
别名	接骨金粟兰
别名	竹节茶
中药名	金钱草
别名	大金钱草
别名	铜钱草
别名	路边黄
别名	过路黄
别名	大连钱草
别名	蜈蚣草
别名	对坐草
别名	黄疸草
中药名	佩兰
别名	兰草
别名	泽兰
别名	圆梗泽兰
别名	香水兰
中药名	委陵菜
别名	白头翁
别名	翻白草
别名	鸡爪草
别名	天青地白
中药名	败酱草
别名	败酱
别名	黄花败酱
别名	苦菜
别名	豆豉草
别名	观音菜
中药名	苦地丁
别名	地丁
别名	地丁草
别名	紫花地丁
别名	小鸡菜
别名	扁豆秧
中药名	苦地胆
别名	天芥菜
别名	鸡疴粘
别名	土柴胡
别名	苦龙胆草
别名	草鞋底
别名	铁灯台
中药名	虎耳草
别名	金线吊芙蓉
别名	烂耳草
别名	石荷叶
别名	金丝荷叶
别名	耳朵草
中药名	青蒿
别名	草蒿
别名	臭蒿
别名	臭青蒿
别名	香丝草
别名	酒饼草
中药名	鸡矢藤
别名	鸡屎藤
别名	臭藤
别名	牛皮冻
中药名	鸡骨草
别名	黄头草
别名	大黄草
别名	猪腰草
别名	假牛甘子
别名	猪腰草
别名	黄食草
中药名	陆英
别名	接骨草
别名	排风草
别名	大臭草
中药名	牡蒿
别名	齐头蒿
别名	臭艾
别名	菊叶柴胡
中药名	连钱草
别名	活血丹
别名	透骨消
别名	接骨消
别名	马蹄草
别名	金钱草
中药名	金莲花
别名	旱地莲
别名	金芙蓉
别名	旱金莲
别名	金疙瘩
中药名	杠板归
别名	蛇倒退
别名	老虎脷
别名	犁头刺
别名	倒金钩
别名	退血草
中药名	伸筋草
别名	石松
别名	过山龙
别名	舒筋草
中药名	羊蹄草
别名	一点红
别名	叶下红
别名	红背叶
别名	紫背草
别名	红背叶
别名	土黄连
中药名	西番莲
别名	王蕊花
别名	转心莲
别名	龙珠菜
中药名	老鹳草
别名	鬼针子
别名	鹭嘴草
别名	五叶草
别名	五瓣花
别名	破铜钱
中药名	地锦草
别名	奶浆草
别名	铺地锦
别名	铺地红
别名	草血竭
别名	血见愁
别名	铁线草
中药名	地耳草
别名	田基黄
别名	合掌草
别名	小王不留行
中药名	瓜子金
别名	竹叶地丁
