中药材	中药材
别名	虱牳豆
别名	朱赤豆
别名	金红小豆
别名	茅柴赤
别名	米赤豆
中药名	方解石
别名	黄石
中药名	半枫荷
别名	半边枫树
别名	翻白叶树根
别名	白背枫根
别名	枫荷桂
别名	半边枫荷
别名	阴阳叶
别名	三不怕
别名	铁巴掌
别名	白背枫
别名	半梧桐
别名	番张麻
别名	大叶半枫荷
中药名	白花蛇舌草
别名	蛇舌草
别名	蛇删草
别名	目目生珠草
别名	蛇针草
别名	节节结蕊草
中药名	槟榔
别名	槟榔子
别名	大腹子
别名	宾门
别名	橄榄子
别名	青仔
别名	洗瘴丹
别名	大腹槟榔
别名	槟榔玉
中药名	草豆蔻
别名	豆蔻
别名	草蔻
别名	草蔻仁
别名	草果
中药名	布渣叶
别名	崩补叶
别名	泡卜布
别名	山茶叶
别名	蓑衣子
别名	破布叶
别名	麻布叶
中药名	当归
别名	秦归
别名	云归
别名	西当归
别名	干归
别名	马尾归
别名	岷当归
中药名	牡蛎
别名	左壳
别名	蚝壳
别名	海蛎子壳
别名	蛎蛤
别名	牡蛤
别名	海砺子皮
中药名	沉香
别名	白木香
别名	土沉香
别名	女儿香
别名	蜜香
别名	栈香
别名	觉水香
别名	奇南香
别名	伽南香
中药名	人参
别名	神草
别名	吉林参
别名	棒槌
别名	土精
别名	黄参
别名	血参
别名	地精
别名	金井玉阑
别名	孩儿参
中药名	牛大力
别名	甜牛大力
别名	山葛
别名	大力薯
别名	大力牛
别名	大口唇
别名	扮山虎
别名	扒山虎
别名	血藤
别名	倒吊金钟
中药名	大风艾
别名	艾纳香
别名	冰片艾
中药名	白鹤灵芝
别名	癣草
别名	白鹤灵芝草
别名	仙鹤灵芝草
别名	大叶灵芝草
别名	假红蓝
中药名	南板蓝根
别名	广东板蓝根
别名	马蓝根
别名	板蓝根
别名	蓝靛根
中药名	马齿苋
别名	瓜子菜
别名	酸味菜
别名	马舌菜
别名	马齿草
别名	马齿菜
别名	五行草
别名	五方草
中药名	山大颜
别名	山大刀
别名	九节木
别名	大罗伞
别名	暗山公
别名	刀枪木
别名	刀伤木
别名	九节仔头
中药名	丁香
别名	丁子香
别名	公丁香
别名	雄丁香
别名	支解香
别名	瘦香娇
别名	如宇香
别名	百里馨
中药名	雷公藤
别名	黄根藤
别名	南蛇根
别名	黄藤木
别名	黄腊藤
别名	菜虫药
别名	红药
别名	水莽草
中药名	榼藤子
别名	象豆
别名	合子
别名	眼镜豆
别名	榼子
别名	牛眼睛
中药名	降香
别名	降真香
别名	紫藤香
别名	花梨母
别名	降真
中药名	海金沙
别名	海金砂
别名	左转藤灰
中药名	玉叶金花
别名	凉口茶
别名	仙甘藤
别名	蝴蝶藤
别名	蜻蜓翅
别名	生肌藤
别名	大凉藤
别名	白叶子
别名	土甘草
别名	山甘草
别名	白纸扇
中药名	五味子
别名	北五味子
别名	玄及
别名	会及
别名	五梅子
别名	山花椒
中药名	岗梅根
别名	苦梅根
别名	山梅根
别名	秤星树根
中药名	番石榴叶
别名	鸡屎果叶
别名	番稔叶
中药名	桉叶油
别名	桉油
别名	蓝桉叶油
别名	尤加利油
中药名	木瓜
别名	光皮木瓜
别名	铁脚梨
别名	秋木瓜
别名	木瓜实
别名	酸木瓜
中药名	紫苏叶
别名	苏叶
别名	紫菜
别名	苏
中药名	扶芳藤
别名	爬墙虎
别名	千斤藤
别名	金线风
别名	九牛造
别名	靠墙风
别名	络石藤
别名	滂藤
别名	岩青藤
别名	换骨筋
别名	爬墙草
别名	爬墙风
中药名	白屈菜
别名	地黄连
别名	牛金花
别名	断肠草
别名	八步紧
别名	雄黄草
别名	山黄连
别名	假黄连
别名	小野人血草
别名	黄汤子
中药名	水翁花
别名	水翁仔
别名	水雍花
别名	水榕花
别名	大蛇药
中药名	飞天蠄蟧
别名	龙骨风
别名	山蝓螃
别名	大贯众
别名	桫椤
别名	刺桫椤
别名	山棕
别名	树蕨
中药名	仙人掌
别名	龙舌
别名	火掌
别名	仙巴掌
别名	凤尾簕
别名	平虑草
别名	老鸦舌
别名	神仙掌
别名	观音掌
别名	观音刺
别名	霸王树
别名	刺巴掌
别名	番花
别名	麒麟花
别名	佛手刺
别名	避火簪
中药名	吉祥草
别名	解晕草
别名	松寿兰
别名	竹叶草
别名	洋吉祥草
别名	广东万年青
别名	结实兰
别名	竹叶青
别名	佛顶珠
别名	玉带草
别名	九节莲
别名	小青胆
别名	小九龙盘
别名	软筋藤
别名	竹节伤
别名	竹根七
别名	观音草
中药名	四块瓦
别名	大四块瓦
别名	红四块瓦
别名	大叶及己
别名	四片瓦
别名	四大天王
别名	四儿风
别名	四匹瓦
别名	四叶黄
中药名	臭牡丹
别名	臭八宝
别名	大红花
别名	臭芙蓉
别名	臭桐根
别名	大红袍
别名	矮童子
别名	臭枫草
别名	臭珠桐
别名	臭黄根
别名	臭茉莉
别名	臭梧桐
别名	臭灯桐
别名	逢仙草
中药名	苏合香
别名	苏合油香
别名	帝膏
别名	苏合香胶
别名	流动苏香油
别名	帝油流
中药名	全蝎
别名	全虫
别名	蝎子
别名	伏背虫
别名	虿
别名	䖯
别名	杜柏
别名	主簿虫
别名	蛜𧌴
别名	虿尾虫
中药名	扶桑花
别名	大红花
别名	朱槿
别名	吊丝红花
别名	状元红
别名	佛桑花
别名	花上花
别名	土红花
别名	大红牡丹花
别名	吊钟花
别名	木花
别名	朋红
别名	公鸡花
别名	贼头花
别名	紫花兰
中药名	土大黄
别名	金不换
别名	止血草
别名	化血莲
别名	红筋大黄
别名	吐血草
别名	箭头草
别名	救命王
别名	野蒿荬
别名	广角
别名	大晕药
别名	包金莲
别名	牛大黄
别名	血当归
别名	萝卜奇
中药名	阿胶
别名	盆覆胶
别名	驴皮胶
别名	傅致胶
中药名	生姜
别名	【别名】母姜
别名	鲜生姜
中药名	独脚金
别名	疳积草
别名	独脚柑
别名	细独脚马骝
别名	地丁草
别名	独脚疳
中药名	川续断
别名	刺芹儿
别名	山萝卜根
别名	黑老鸦头
别名	和尚头
别名	山萝卜
别名	川断
别名	滋油菜
别名	川萝卜根
别名	鼓锤草
中药名	土茯苓
别名	禹余粮
别名	白余粮
别名	饭团根
别名	红土苓
别名	土萆薜
别名	硬饭头
别名	冷饭团
中药名	海风藤
别名	满坑香
别名	荖藤
别名	大风藤
